clause,risk
"Company shall make available, for audit by Achaogen, the secretary, HHS, the physician statements and informed consents required by 42 U.S.C. 289g-1(b) and (c), or ensure HHS access to those records, if maintained by an entity other than the Contractor.",1
"The insurance policies required herein shall: (a) name us as an additional named insured and contain a waiver of all subrogation rights against us, our affiliates, and our and their successors and assigns; (b) provide for thirty (30) days' prior written notice to us of any material modification, cancellation, or expiration of such policy; (c) provide that the coverage applies separately to each insured against whom a claim is brought as though a separate policy had been issued to each insured; (d) contain no provision which in any way limits or reduces coverage for you in the event of a claim by any one or more of the parties indemnified under this Agreement; (e) be primary to and without right of contribution from any other insurance purchased by the parties indemnified under this Agreement; and (f) extend to and provide indemnity for all obligations assumed by you hereunder and all other items for which you are required to indemnify us under this Agreement.",0
"In consideration for the licenses granted to Corio pursuant to Section 2 (except Section 2.5) of this Agreement, Corio shall pay the revenue sharing fees specified in EXHIBIT B hereto.",0
"Notwithstanding the aforesaid in Section 16.1. and any possible implication to the contrary herein or as a result of the course of conduct of the parties, Contractor shall be entitled, at its sole discretion, to terminate this Agreement only during the Extended Term, with or without cause, upon a prior written notice of termination to NICE of not less than six (6) months.",1
"EXCEPT UNDER SECTION 13(c) and (d), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",0
"The term ""Information"" shall mean and includes all information in whatever form, provided for the purpose of GSEnergy's review and analysis, but is not information which: (d) is rightfully disclosed to GSEnergy by a third person. ",1
"If audit results find Supplier Is not in substantial compliance with the<omitted>requirements of this Agreement, then Bank of America shall be entitled, at Supplier's expense, to perform up to two (2) additional such audits in that year in accordance with the procedure set forth in this Section.",1
The receiving party shall not be liable for the disclosure of any Confidential Information which is: (d) independently developed by employees of the receiving party; or  ,0
"""Confidential Information"" of a disclosing party (""Discloser"") means the following, regardless of its form and including copies made by the receiving party (""Recipient""), whether the Recipient becomes aware of it before or after the date of this Agreement:  disclosed by the Discloser to the Recipient or of which the Recipient becomes aware, including but not limited to, the information specified in Schedule 1; Neither party may make any public announcement or press release concerning the purpose or this agreement without the prior written consent of the other party.  the fact that the parties are discussing a Project or Opportunity;  the status of the Project or Opportunity; and  the fact that the parties have made information available to each other and are inspecting or evaluating that information; ",0
"Licensor hereby grants Licensee a non-exclusive license to use the logos, trademarks and service marks used by Licensor to identify the Titles (collectively, ""Licensor Marks"") in connection with the use of the Titles as set forth in this Agreement. Li",1
Green Cross shall pay to MacroGenics a royalty of *** on Net Sales of Competing Products for the Royalty Term.,1
Distributor acknowledges Zogenix's exclusive ownership of the Zogenix Trademarks and agrees not to take any action inconsistent with such ownership.,0
"""Confidential Information"" does not include any information that: (vi) is available to the Recipient or the Recipient's Representatives on a non-confidential basis from a source other than the Receiver, the Company or any of the Receiver's Representatives or the Company's Representatives, provided that such source is not known by the Recipient, after reasonable investigation, to be bound by a contractual, legal or fiduciary obligation of confidentiality to the Receiver or the Company or any other person with respect to such information; or ",1
"Except as provided in Section 6.2, during the term of this Agreement, the Company shall not participate in any project similar to the Site on the Internet with respect to Deerskin Products or products substantially similar to Deerskin Products (including, without limitation, the products of Wilson's House of Leather, Excelled and companies similar to Wilson's House of Leather and Excelled)",1
"8. Title to, interest in, and all other rights of ownership to Confidential Information shall remain with the Disclosing Party.  ",1
"If the Executive's employment is terminated at any time by reason of any reconstruction or amalgamation of any Group Company, whether by winding up or otherwise, and the Executive is offered employment with any concern or undertaking involved in or resulting from the reconstruction or amalgamation on terms which (considered in their entirety) are no less favourable to any material extent than the terms of this Agreement, the Executive acknowledges and agrees that there shall be no claim against the Company or any undertaking arising out of or connected with such termination.",0
"2.1. A Receiving Party agrees: 2.1.2. to use the Confidential Information of the other solely in, and to the extent necessary for the Purpose and not to copy or use any Confidential Information of the other save to the extent necessary for the Purpose; ",1
"Under no circumstances shall any Party be liable to any other Party in contract, tort, (including negligence or breach of statutory duty) or otherwise for loss (whether direct or indirect) of profits, property, traffic, business or anticipated savings, or for any indirect or consequential loss or damage in connection with the operation of this Agreement howsoever caused.",0
Distributor shall (a) procure the Products solely from STAAR (or its affiliates),0
"Accordingly, you covenant and agree that, during the term of this Agreement and for a continuous period of two (2) years after the expiration or termination of this Agreement, and/or a transfer as contemplated in Section 16 above, you will not directly, indirectly, for yourself, or through, on behalf of, or in conjunction with any party, in any manner whatsoever, do any of the following:<omitted>19.3.2 Employ or seek to employ any person who is then employed by us or any other Goosehead Business franchisee or developer, or otherwise directly or indirectly induce such person to leave his or her employment. In addition to any other rights and remedies available to us under this Agreement, in the event of a violation of this Section, we will have the right to require you to pay to us (or such other Goosehead Business developer or franchisee, as the case may be) an amount equal to three times the annual salary of the person(s) involved in such violation, plus an amount equal to our costs and attorney's fees incurred in connection with such violation.",0
"This Intellectual Property Agreement shall be construed and interpreted according to the laws of the State of Georgia, applicable contracts to be wholly performed within the State of Georgia.",0
"This Agreement shall be governed by and construed in accordance with the laws of [***], without regard to the conflicts of law principles thereof, and [***].",0
"As longs as TPH-A and TPH are not in material and continuing breach of this Agreement or the Ancillary Agreements, TPH-A or TPH may trigger the option to purchase the Call Shares (the ""Call Option"") by providing a written notice of the exercise of the Call Option (the ""Call Exercise Notice"") simultaneously to the Company, FSL and AFSL, which notice states (i) such Party's bona fide intention to exercise the Call Option, and (ii) the date on which such Party intends that the Call Closing Date occur.",1
"4. If a Receiving Party believes it is required by law to disclose any Information under clause 3(d) above, the Receiving Party shall (in each case and to the extent not prohibited in law): a. provide the Disclosing Party with prompt written notice of such requirement or obligation (together with a copy of any relevant access request, court order or other evidence giving rise to such belief) in advance of the required disclosure, to enable the Disclosing Party to seek appropriate protective relief and/or to take other steps to resist or narrow the scope of any required disclosure; ",1
"During the term of this Agreement and after its expiration or termination, you shall not directly or indirectly contest the validity of, or our ownership of the Proprietary Marks, nor take any other action which may tend to jeopardize our or our affiliate's interest therein, or our right to use and to license others to use the Proprietary Marks.",0
Either party wishing to terminate the Agreement must give written notice to the other party at least thirty (30) days prior to the desired date of termination.,0
"All rights (under any applicable intellectual property right) granted herein are not sublicenseable,<omitted>transferable or assignable.",1
"Customer and M&I shall be liable to the other only for direct damages arising out of or relating to their respective performance or non-performance of obligations under this Agreement; provided, however, that the following shall be considered direct damages for the purposes of this Agreement: A. Costs of recreating or reloading any of Customer's information that is lost or damaged; B. Costs of implementing a work-around in respect of a failure to provide the Services; C. Costs of replacing lost or damaged equipment, software, and materials; D. Costs and expenses incurred by Customer to correct errors in software maintenance and enhancements provided as part of the Services; E. Costs and expenses incurred by Customer to procure the Services from an alternate source, to the extent in excess of M&I's charges under this Agreement; and F. Straight time, overtime, or related expenses incurred by Customer, including overhead allocations of Customer for Customer's employees, wages and salaries of additional employees, travel expenses, overtime expenses, telecommunication charges, and similar charges, due to failure of M&I to provide the Services or incurred in connection with subsections (A) through (E) above, to the extent that such straight time, overtime, or related expenses exceed what Customer would have paid to M&I if M&I were providing the Services, and limited to the amount that M&I would have paid to Customer under subsection (E) above if Customer chose to procure the Services from an alternate source.",1
No Party may assign this Agreement without the prior written consent of the other Party.,1
"Subject to the terms and conditions of this Agreement, Arizona hereby grants to the Company a perpetual, non-exclusive, royalty-free license in, to and under the Arizona Licensed Patents for use in the Company Field throughout the world.",1
"In the event that such assignment would be unlawful, Vyera shall, and hereby does, grant to CytoDyn an exclusive, irrevocable, worldwide, sublicensable (including through multiple tiers), transferrable (without consent) royalty free license to any and all right, title and/or interest that it may have in or to an Invention.",1
"SpinCo, for itself and as representative of all other members of the SpinCo Group, hereby grants to RemainCo (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the SpinCo Know- How currently or previously used in connection with the RemainCo Business or otherwise in the possession of RemainCo or any member of the RemainCo Group as of Distribution Date (the ""Licensed SpinCo Know-How""), for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in the RemainCo Core Field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in Section 5.6) to use the Licensed SpinCo Know-How for the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in any field other than the RemainCo Core Field or the SpinCo Core Field; provided, however, the foregoing licenses shall not extend to (i) SpinCo Know-How<omitted>licensed by SpinCo or any other member of the SpinCo Group if and to the extent the licensing of same to RemainCo would constitute a breach of an agreement with any Third Party executed prior to the Effective Date or result in any expense to SpinCo or any member of the SpinCo Group for payments to such Third Party or (ii) any intellectual property not owned by one or more members of the SpinCo Group, or as to which no member of the SpinCo Group has the right to grant sublicenses, as of the Effective Date.",0
"Upon the effective date of this agreement COMWARE shall have the exclusive right to purchase, at the DISCOUNTS described below, and resell Products to potential customers during the Initial Distribution Period,",1
"In addition, if BI has exercised its first right of negotiation in Section 5.2.2.a, XENCOR hereby grants and will make an eventual Business Partner do so, BII a first right to negotiate to manufacture and supply commercial Product as Principal Supplier for a period up to the [...***...], starting with the first commercial launch of the Product.",0
"“Material Adverse Effect” shall mean any event, occurrence, change or development that has a material adverse effect on the business, results of operations or financial condition of the Acquired Corporations taken as a whole; provided, however, that no event, occurrence, change, or development resulting or arising from or relating to or in connection with any of the following matters shall be deemed, either alone or in combination, to constitute or contribute to, or be taken into account in determining whether there has been, a Material Adverse Effect: (i) any change in the market price or trading volume of the Company’s stock (provided, however, that the underlying causes thereof, to the extent not otherwise excluded by this definition, may be deemed to contribute to a Material Adverse Effect); (ii) the execution, announcement or pendency of this Agreement or the terms hereof (including the identity of Parent or Purchaser) or the announcement, pendency or consummation of the Transactions, including the impact thereof on the relationships, contractual or otherwise, of the Company with employees, labor unions, works councils, financing sources, customers, franchisees, suppliers, partners, Governmental Bodies or other business relationships; (iii) the general conditions or trends in the industries in which the Acquired Corporations operate or in the economy generally or other general business, financial or market conditions, including competition in geographic, product or service areas; (iv) domestic, foreign or global political conditions, economic, regulatory, financial or capital markets conditions (including interest rates, exchange rates, tariffs, trade wars and credit markets); (v) any act of civil unrest, civil disobedience, protests, public demonstrations, insurrection, terrorism, war, cyberterrorism, military activity, sabotage or cybercrime, national or international calamity or any other similar event, including an outbreak or escalation of hostilities involving the United States or any other Governmental Body or the declaration by the United States or any other Governmental Body of a national emergency or war, or any worsening of any such conditions threatened or existing on the date of this Agreement; (vi) any natural or manmade disasters, epidemics, pandemics or disease outbreaks (including COVID-19) or any acts of God; (vii) changes to applicable Legal Requirements (including COVID-19 Measures); (viii) any determination by, or delay of a determination by, the FDA or any other Governmental Body, or any panel or advisory body empowered or appointed thereby, or any indication that any such entity, panel or body will make any determination or delay in making any determination, with respect to the approvability, manufacturing, labeling, contents of package insert, prescribing information, risk management profile, chemistry, manufacturing and controls (CMC) matters or pre-approval inspection matters relating to any product candidates of the Acquired Corporations or any products or product candidates of any competitors of the Acquired Corporations, or any requirement relating to the results of any pre-clinical or clinical testing being conducted by or on behalf of the Acquired Corporations, any of its competitors or any of their respective collaboration partners, including any requirement to conduct further clinical trials or any delayed or accelerated launch of any   A-7   product candidates of the Acquired Corporations or any products or product candidates of any competitors of the Acquired Corporations; (ix) the results of, or any data derived from, any pre-clinical or clinical testing being conducted by or on behalf of the Acquired Corporations, any of its competitors or any of their respective collaboration partners or any announcement thereof; (x) increased incidence or severity of any previously identified side effects (including toxicity), adverse events or safety observations, or reports of new side effects, adverse events or safety observations, with respect to any product candidates of the Acquired Corporations or any products or product candidates of any competitors of the Acquired Corporations; (xi) any recommendations, statements or other pronouncements made, published or proposed by professional medical organizations or any Governmental Body or representative thereof, or any panel or advisory body empowered or appointed thereby, relating to any product candidates of the Acquired Corporations or any products or product candidates of any competitors of the Acquired Corporations; (xii) any supply chain disruption affecting product candidates of the Acquired Corporations or any products or product candidates of any competitors of the Acquired Corporations; (xiii) any determination or development relating to coverage, reimbursement or payor rules or policies applicable to, or pricing of, any product candidates of the Acquired Corporations or any products or product candidates of any competitors of the Acquired Corporations; (xiv) the failure of the Company to meet internal or analysts’ expectations or projections, forecasts, guidance, estimates or budgets (provided, however, that the underlying causes thereof, to the extent not otherwise excluded by this definition, may be deemed to contribute to a Material Adverse Effect; provided, further, that this clause (xiv) shall not be construed as implying that the Company is making any representation or warranty hereunder with respect to any internal or analysts’ expectations or projections, forecasts, guidance, estimates or budgets); (xv) any Legal Proceeding relating to or resulting from this Agreement or the transactions contemplated hereby; (xvi) any action taken by the Company at the written direction of Parent or any action expressly required or permitted to be taken by Parent, Purchaser or the Company pursuant to the terms of this Agreement, or the failure of the Company to take any action that the Company is prohibited by the terms of this Agreement from taking or which the Company did not take on account of withheld consent from Parent; (xvii) any breach by Parent or Purchaser of this Agreement; (xviii) any matter to the extent expressly set forth on the Company Disclosure Schedule or (xix) any change in any Legal Requirement or GAAP or any other applicable accounting principles or standards (or change in interpretations of any Legal Requirement or GAAP or any other applicable accounting principles or standards) after the date of this Agreement; provided, however, that, to the extent such events, circumstances, conditions, changes, developments or effects referred to in clauses (iii), (iv), or (v) has had or would reasonably be expected to have, individually or in the aggregate, a disproportionate adverse effect on the business, financial condition or results of operations of the Acquired Corporations, taken as a whole, relative to other biopharmaceutical companies with products or product candidates that are, or are reasonably likely to be, competitive with the products of the Acquired Corporations (and, in the case of biopharmaceutical companies with multiple product lines or divisions, relative only to the products or product candidates that are, or are reasonably likely to be, competitive with the products of the Acquired Corporations), in which case only the incremental disproportionate impact shall be taken into account when determining whether a “Material Adverse Effect” has occurred or may, would or could occur. (Pages 73-74)",1
"The warranty period for all Material (excluding AT&T Provided Equipment) shall commence upon Delivery of such Material to Vendor from the OEM and shall continue for a period equal to the longer of (i) [***] or (ii) the applicable warranty period actually received by Vendor from the OEM for such Material Vendor acquired directly from the OEM, including the Vendor Provided Equipment as defined in the Build Addendum (the ""Material Warranty Period"").",1
"Either party may terminate this Agreement, without cause, by giving the other party [*****] days prior written notice.",1
"If M&I and Customer are unable to agree upon the terms for renewal of this Agreement at least six (6) months prior to the expiration of the Term, then Customer may, at its option, renew this Agreement for one (1) twelve month period at the then-current terms and conditions of this Agreement.",1
This Agreement may be terminated by (a) the written agreement of the Parties or (b) by either Party upon 5 days written notice to the other Party.,1
"Except to the extent preempted by Employee Retirement Income Security Act of 1974, as amended (""ERISA""), all rights hereunder shall be governed by and construed in accordance with the laws of the State of New York without regard to its rules governing conflicts of laws, or the rules of any other jurisdiction which would cause the laws of any jurisdiction other than the State of New York to apply.",0
This Agreement shall be construed in accordance with the laws of the State of New York without regard to principles of conflicts of law.,0
"Until the Designation Rights Termination Date or as otherwise directed by Purchaser or set forth in this Agreement, Merchant shall continue to maintain, subject to the Wind-Down Budget and the Wind-Down Cap, in such amounts as it currently has in effect, all of its liability insurance policies, including but not limited to commercial general liability, products liability, comprehensive public liability, auto liability and umbrella liability insurance, covering injuries to persons and property in, or in connection with, the Assets and/or Merchant's operation of its business and the Store and Distribution Centers; and Merchant shall cause Purchaser to be named as an additional named insured (as its interest may appear) with respect to all such policies.",0
"“Material Adverse Effect” means, with respect to Parent, the Company or the Surviving Entity, as the case may be, any effect, change, event, circumstance, condition, occurrence or development that, either individually or in the aggregate, has had or would reasonably be expected to have a material adverse effect on (i) the business, properties, assets, liabilities, results of operations or financial condition of such party and its Subsidiaries, taken as a whole (provided, however, that, with respect to this clause (i), Material Adverse Effect shall not be deemed to include the impact of (A) changes, after the date hereof, in U.S. generally accepted accounting principles (“GAAP”) or applicable regulatory accounting requirements, (B) changes, after the date hereof, in laws, rules or regulations of general applicability (including the Pandemic Measures) to companies in the industries in which such party and its Subsidiaries operate, or interpretations thereof by courts or Governmental Entities, (C) changes, after the date hereof, in global, national or regional political conditions (including the outbreak of war or acts of terrorism) or in economic or market (including equity, credit and debt markets, as well as changes in interest rates) conditions affecting the financial services industry generally and not specifically relating to such party or its Subsidiaries (including any such changes arising out of the Pandemic or any Pandemic Measures), (D) changes, after the date hereof, resulting from hurricanes, earthquakes, tornados, floods or other natural disasters or from any epidemic, pandemic, outbreak of any disease or other public health event (including the Pandemic), (E) public disclosure of the execution of this Agreement, public disclosure or consummation of the transactions contemplated hereby (including any effect on a party’s relationships with its customers or employees) (it being understood that the foregoing shall not apply for purposes of the representations and warranties in Sections 3.3(b), 3.4, 4.3(b) or 4.4) or actions expressly required by this Agreement or that are taken with the prior written consent of the other party in contemplation of the transactions contemplated hereby, or (F) a decline in the trading price of a party’s common stock or the failure, in and of itself, to meet earnings projections or internal financial forecasts (it being understood that the underlying causes of such decline or failure may be taken into account in determining whether a Material Adverse Effect has occurred); except, with respect to subclauses (A), (B), (C) or (D), to the extent that the effects of such change are materially disproportionately adverse to the business, properties, assets, liabilities, results of operations or financial condition of such party and its Subsidiaries, taken as a whole, as -9-      compared to other companies in the industry in which such party and its Subsidiaries operate), or (ii) the ability of such party to timely consummate the transactions contemplated hereby. (Pages 17-18)",1
"During the term of this Agreement, CONSULTANT shall exclusively play/use the MANDATORY PRODUCT.",0
This Agreement shall be terminable (a) by the Licensor<omitted>(ii) upon sixty (60) days' written notice by the Licensor to the Licensee or (b) by the Licensee<omitted>(ii) upon sixty (60) days' written notice by the Licensee to the Licensor.,0
This Agreement shall be governed by and construed in accordance with the laws of the State of New York without regard to principles of conflicts of law.,0
"Section 6.02.      Acquisition Proposals; Change of Recommendation. <omitted>  (d)           No Change of Recommendation or Alternative Acquisition Agreement.  <omitted>  (iii)               <omitted> the Company Board may:   (x) effect a Change of Recommendation if: (A)  a <omitted> Acquisition Proposal <omitted> is received by the Company <omitted> , and  the Company Board determines in good faith, after consultation with outside legal counsel, that a failure to effect a Change of Recommendation would be inconsistent with the directors’ fiduciary duties under applicable Law and, after consultation with its financial advisor, that such Acquisition Proposal constitutes a Superior Proposal; or (B) the Company Board determines in good faith that an Intervening Event has occurred and, after consultation with outside legal counsel, that a failure to effect a Change of Recommendation would be inconsistent with the directors’ fiduciary duties under applicable Law, and/or (Pages 32-33)",1
"In the event that either (x) one Party shall transfer its entire interest in the Operating Company as permitted pursuant to this Agreement and the Operating Company shall remain a going concern after the closing of such transfer or (y) both Parties sell their interest in the Operating Company as permitted pursuant to this Agreement and the Operating Company shall remain a going concern after the closing of such transfer, then any Party which ceases to own an interest in the Operating Company as a result of such transfer shall remain subject to the terms of this Article 7.2 for a period of ten (10) years after the date of such transfer.",1
"IN NO EVENT SHALL COMPANY BE LIABLE TO CONSULTANT OR TO ANY OTHER PARTY FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES, OR DAMAGES FOR LOST PROFITS OR LOSS OF BUSINESS, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY, WHETHER BASED IN CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHER THEORY OF LIABILITY, REGARDLESS OF WHETHER COMPANY WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES AND NOTWITHSTANDING THE FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY.",1
"If after termination of this Agreement either Party subsequently Develops and Commercializes any Long- Acting β2 Adrenoceptor Agonist for the treatment / prophylaxis of respiratory diseases which (i) was never a Pooled Compound or Collaboration Product or (ii) was a GSK Discontinued Compound or a Theravance Discontinued Compound, it will pay to the other Party a royalty on Net Sales of any such products at the rate of 3% for a single-agent product and 2% for the first combination product for a period of 15 years from the date of launch on a Country-by-Country basis; provided, however, that this royalty shall not apply to any compound or product (including new product line extensions and/or re-formulation work) where the original compound or product is, as of the date of signature of this Agreement, already Commercialized.",1
"Without limiting the foregoing; Sutro is responsible for auditing the facilities of the suppliers of Components, if any, periodically, and Sutro agrees to provide SutroVax, upon SutroVax's request with a current copy of the audit report of such facilities and to incorporate SutroVax's comments with respect to any corrective action plan related to the Product.",1
